Uhrzeit;Temp
00:20;8 
00:50;6 
01:20;6 
01:50;5 
02:20;5 
02:50;5 
03:20;4 
03:50;4 
04:20;5 
04:50;5 
05:20;4 
05:50;4 
06:20;3 
06:50;3 
07:20;3 
07:50;6 
08:20;8 
08:50;9 
09:20;10 
09:50;12 
10:20;13 
10:50;15 
11:20;15 
11:50;15 
12:20;17 
12:50;18 
13:20;18 
13:50;19 
14:20;20 
14:50;21 
15:20;22 
15:50;21 
16:20;21 
16:50;21 
17:20;21 
17:50;19 
18:20;18 
18:50;16 
19:20;16 
19:50;15 
20:50;14 
21:20;13 
21:50;14 
22:20;14 
22:50;13 
23:20;11 
23:50;11 
;
